epoch,correlation_coefficient,fraction_of_explained_variance,loss,root_mean_squared_error
0,0.07889155,-0.7337352,0.8671559986053538,0.7832784
1,0.2855667,-0.48779836,0.7993868396522936,0.72779906
2,0.36712682,-0.24450156,0.7379182484589752,0.67648983
3,0.40740433,-0.01663565,0.6786837039692523,0.62605333
4,0.43753058,0.11441321,0.6396807709486942,0.5938213
5,0.46129492,0.1764956,0.6182337522514665,0.57669336
6,0.48038098,0.2096947,0.6052700533709622,0.5664464
7,0.4951538,0.23096704,0.5962775111977571,0.5594646
8,0.5074557,0.2467449,0.5891385084810424,0.55405
9,0.5172992,0.25905213,0.5831594545077654,0.5495875
10,0.5257396,0.26912725,0.5780915697904624,0.54594386
11,0.5334478,0.2781785,0.5734832445406765,0.54249996
12,0.5400776,0.28596523,0.569345378356567,0.5395193
13,0.5459232,0.29302463,0.5656743106069891,0.53685665
14,0.55146664,0.29978105,0.5621736827664842,0.5342606
15,0.5561793,0.30553192,0.5590639887880735,0.53199506
16,0.5612974,0.3117012,0.5560088143621236,0.52967316
17,0.565893,0.3172899,0.5530697558205875,0.52745765
18,0.57011414,0.3223507,0.5505014243357433,0.52544343
19,0.57456636,0.32779774,0.5478574619088727,0.523351
20,0.57808846,0.33231264,0.5455224579241144,0.521512
21,0.5818843,0.3367174,0.5432298347598412,0.5197214
22,0.58523655,0.34095109,0.5411470252859031,0.5179913
23,0.58856875,0.34510228,0.5390951501773773,0.5163508
24,0.59181076,0.3491713,0.537132667919962,0.51474535
25,0.59486014,0.35292754,0.5352903281559511,0.5131776
26,0.5975736,0.35655797,0.5335615401874149,0.51172197
27,0.60026413,0.35993427,0.5318338687863209,0.5102886
28,0.6030455,0.3633716,0.5302667921326774,0.5089371
29,0.6054322,0.36638716,0.5287588371727424,0.50764847
30,0.6078187,0.3696047,0.5272562296963444,0.5063182
31,0.60994226,0.37225246,0.525909891341374,0.505236
32,0.6118504,0.37484038,0.5246406224857764,0.5041764
33,0.6142841,0.3778514,0.5232884193084487,0.5029157
34,0.6160473,0.38015604,0.522116614138188,0.50193006
35,0.6180903,0.38289866,0.5208694535035904,0.50078255
36,0.61999846,0.38547656,0.5197334124797246,0.4997646
37,0.6216432,0.38756537,0.5186950954871605,0.49883378
38,0.6233528,0.38975635,0.5176543339846436,0.49791217
39,0.6250628,0.3918966,0.5166791694966001,0.4970174
40,0.62683886,0.39430213,0.5156191354062186,0.49597114
41,0.6279975,0.39587313,0.5148337524490101,0.49535677
42,0.62937033,0.3977737,0.5139496773302483,0.49453828
43,0.6310831,0.39989904,0.5130102432905491,0.493623
44,0.6325511,0.4016524,0.5121982292432029,0.49284652
45,0.6337347,0.40336025,0.5114199110642582,0.49214405
46,0.63494664,0.40485886,0.5107059373058318,0.49146172
47,0.6359266,0.40619266,0.5100271811380106,0.49091586
48,0.63746643,0.40823585,0.5092177676921195,0.49005303
49,0.63833845,0.40930897,0.5086279643051812,0.48950782
